2023-02-24 12:50:46,044 INFO    Thread-15 :3988 [wandb_setup.py:_flush():68] Configure stats pid to 3988
2023-02-24 12:50:46,045 INFO    Thread-15 :3988 [wandb_setup.py:_flush():68] Loading settings from C:\Users\student\.config\wandb\settings
2023-02-24 12:50:46,045 INFO    Thread-15 :3988 [wandb_setup.py:_flush():68] Loading settings from c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\settings
2023-02-24 12:50:46,045 INFO    Thread-15 :3988 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'test', 'entity': 'g13hvl2023', 'root_dir': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch', 'run_id': '0iv6qera', 'sweep_param_path': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch\\wandb\\sweep-8kof07td\\config-0iv6qera.yaml', 'sweep_id': '8kof07td'}
2023-02-24 12:50:46,045 INFO    Thread-15 :3988 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-24 12:50:46,045 INFO    Thread-15 :3988 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230224_125046-0iv6qera\logs\debug.log
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230224_125046-0iv6qera\logs\debug-internal.log
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000020C4DFAE1C0>
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:init():532] calling init triggers
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:init():538] wandb.init called with sweep_config: {'learning_rate': 0.05}
config: {}
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:init():588] starting backend
2023-02-24 12:50:46,046 INFO    Thread-15 :3988 [wandb_init.py:init():592] setting up manager
2023-02-24 12:50:46,054 INFO    Thread-15 :3988 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-24 12:50:46,061 INFO    Thread-15 :3988 [wandb_init.py:init():599] backend started and connected
2023-02-24 12:50:46,068 INFO    Thread-15 :3988 [wandb_run.py:_config_callback():1250] config_cb None None {'learning_rate': 0.05}
2023-02-24 12:50:46,069 INFO    Thread-15 :3988 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-24 12:50:46,069 INFO    Thread-15 :3988 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-24 12:50:46,069 INFO    Thread-15 :3988 [wandb_init.py:init():687] updated telemetry
2023-02-24 12:50:46,119 INFO    Thread-15 :3988 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-24 12:50:46,578 INFO    Thread-15 :3988 [wandb_run.py:_on_init():2134] communicating current version
2023-02-24 12:50:46,691 INFO    Thread-15 :3988 [wandb_run.py:_on_init():2143] got version response 
2023-02-24 12:50:46,691 INFO    Thread-15 :3988 [wandb_init.py:init():775] starting run threads in backend
2023-02-24 12:50:46,876 INFO    Thread-15 :3988 [wandb_run.py:_console_start():2114] atexit reg
2023-02-24 12:50:46,876 INFO    Thread-15 :3988 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-24 12:50:46,876 INFO    Thread-15 :3988 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-24 12:50:46,876 INFO    Thread-15 :3988 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-24 12:50:46,877 INFO    Thread-15 :3988 [wandb_init.py:init():817] run started, returning control to user process
2023-02-24 12:50:46,890 INFO    Thread-15 :3988 [wandb_watch.py:watch():51] Watching
2023-02-24 12:53:33,008 INFO    Thread-15 :3988 [wandb_run.py:_finish():1854] finishing run g13hvl2023/test/0iv6qera
2023-02-24 12:53:33,009 ERROR   Thread-15 :3988 [jupyter.py:save_history():441] Run pip install nbformat to save notebook history
2023-02-24 12:53:33,009 INFO    Thread-15 :3988 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-02-24 12:53:33,009 INFO    Thread-15 :3988 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-02-24 12:53:33,009 INFO    Thread-15 :3988 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-02-24 12:53:33,009 INFO    Thread-15 :3988 [wandb_run.py:_restore():2066] restore
2023-02-24 12:53:33,009 INFO    Thread-15 :3988 [wandb_run.py:_restore():2072] restore done
2023-02-24 12:53:36,865 INFO    Thread-15 :3988 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-02-24 12:53:36,866 INFO    Thread-15 :3988 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-02-24 12:53:36,873 INFO    Thread-15 :3988 [wandb_run.py:_footer_sync_info():3398] logging synced files
