2023-04-18 16:23:05,237 INFO    Thread-15 :9832 [wandb_setup.py:_flush():68] Configure stats pid to 9832
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_setup.py:_flush():68] Loading settings from C:\Users\student\.config\wandb\settings
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_setup.py:_flush():68] Loading settings from c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\settings
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'Sweep', 'entity': 'g13hvl2023', 'root_dir': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch', 'run_id': 'zrkzsyfu', 'sweep_param_path': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch\\wandb\\sweep-h21e73wx\\config-zrkzsyfu.yaml', 'sweep_id': 'h21e73wx'}
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230418_162305-zrkzsyfu\logs\debug.log
2023-04-18 16:23:05,238 INFO    Thread-15 :9832 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230418_162305-zrkzsyfu\logs\debug-internal.log
2023-04-18 16:23:05,239 INFO    Thread-15 :9832 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000018527D4EE80>
2023-04-18 16:23:05,239 INFO    Thread-15 :9832 [wandb_init.py:init():532] calling init triggers
2023-04-18 16:23:05,239 INFO    Thread-15 :9832 [wandb_init.py:init():538] wandb.init called with sweep_config: {'batch_size': 50, 'dropout': 0, 'epoch': 10, 'gamma': 1, 'learning_rate': 0.01, 'loss': 'cross', 'model': 'resnet101', 'optimizer': 'adam'}
config: {}
2023-04-18 16:23:05,239 INFO    Thread-15 :9832 [wandb_init.py:init():588] starting backend
2023-04-18 16:23:05,239 INFO    Thread-15 :9832 [wandb_init.py:init():592] setting up manager
2023-04-18 16:23:05,247 INFO    Thread-15 :9832 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-18 16:23:05,256 INFO    Thread-15 :9832 [wandb_init.py:init():599] backend started and connected
2023-04-18 16:23:05,273 INFO    Thread-15 :9832 [wandb_run.py:_config_callback():1250] config_cb None None {'batch_size': 50, 'dropout': 0, 'epoch': 10, 'gamma': 1, 'learning_rate': 0.01, 'loss': 'cross', 'model': 'resnet101', 'optimizer': 'adam'}
2023-04-18 16:23:05,274 INFO    Thread-15 :9832 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-04-18 16:23:05,274 INFO    Thread-15 :9832 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-18 16:23:05,274 INFO    Thread-15 :9832 [wandb_init.py:init():687] updated telemetry
2023-04-18 16:23:05,342 INFO    Thread-15 :9832 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-04-18 16:23:05,861 INFO    Thread-15 :9832 [wandb_run.py:_on_init():2134] communicating current version
2023-04-18 16:23:05,962 INFO    Thread-15 :9832 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-18 16:23:05,962 INFO    Thread-15 :9832 [wandb_init.py:init():775] starting run threads in backend
2023-04-18 16:23:06,161 INFO    Thread-15 :9832 [wandb_run.py:_console_start():2114] atexit reg
2023-04-18 16:23:06,161 INFO    Thread-15 :9832 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-18 16:23:06,161 INFO    Thread-15 :9832 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-18 16:23:06,161 INFO    Thread-15 :9832 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-18 16:23:06,162 INFO    Thread-15 :9832 [wandb_init.py:init():817] run started, returning control to user process
2023-04-18 16:23:06,588 INFO    Thread-15 :9832 [wandb_watch.py:watch():51] Watching
